date,division,district,upazila,disease,cases,deaths,population
2023-01-01,Dhaka,Dhaka District,Dhamrai,Measles,4,0,200000
2023-01-01,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-01,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-01,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-01-01,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-01,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-02,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-02,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-01-02,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-02,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-01-02,Khulna,Jashore,Jashore Sadar,Dengue,0,0,200000
2023-01-02,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-03,Dhaka,Dhaka District,Dhamrai,Measles,6,0,200000
2023-01-03,Dhaka,Dhaka District,Dhamrai,Dengue,0,0,200000
2023-01-03,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-03,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-01-03,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-03,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-04,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-01-04,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-01-04,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-01-04,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-01-04,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-04,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-01-05,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-05,Dhaka,Dhaka District,Dhamrai,Dengue,6,0,200000
2023-01-05,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-05,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-01-05,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-05,Khulna,Jashore,Jashore Sadar,Diarrhea,7,0,200000
2023-01-08,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-08,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-08,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
